
La principal oferta académica de la ciudad de Bahía Blanca es:
========================================================================================================================
                            PRINCIPAL OFERTA ACADEMICA DE BAHÍA BLANCA                         | DURACION | UNIVERSIDAD|
TECNICATURA UNIVERSITARIA EN PARQUES Y JARDINES        					       |  3 AÑOS  |    UNS     |
TECNICATURA UNIVERSITARIA EN SISTEMAS ELECTRÓNICOS INDUSTRIALES INTELIGENTES  		       |  3 AÑOS  |    UNS     |
TECNICATURA UNIVERSITARIA EN PROGRAMACIÓN						       |  2 AÑOS  |    UTN     |
TECNICATURA UNIVERSITARIA EN MANTENIMIENTO INDUSTRIAL					       |  3 AÑOS  |    UTN     |
TECNICATURA SUPERIOR EN GESTIÓN AMBIENTAL Y SALUD					       |  3 AÑOS  |   JUAN 23  |
TECNICATURA SUPERIOR EN AUTOMATIZACIÓN Y CONTROL					       |  3 AÑOS  |   JUAN 23  |
TECNICATURA EN DISEÑO GRAFICO								       |  3 AÑOS  |    ESAV    |
TECNICATURA EN ILUSTRACIÓN								       |  3 AÑOS  |    ESAV    |
TECNICATURA SUPERIOR EN REALIZADOR DE ARTES VISUALES					       |  3 AÑOS  |    ESAV    |
TECNICATURA SUPERIOR EN CERÁMICA							       |  3 AÑOS  |    ESAV    |
TECNICATURA SUPERIOR EN TRADUCTORADO TECNICO-CIENTIFICO EN LENGUA INGLESA	               |  3 AÑOS  |   GOYENA   |
TECNICO SUPERIOR EN SERVICIOS GASTRONOMICOS Y CERTIFICACION DE CHEF			       |  3 AÑOS  |   GOYENA   |
TECNICATURA SUPERIOR EN PRODUCCION AGRICOLA GRANADERA					       |  3 AÑOS  |   GOYENA   |
ANESTESIOLOGIA										       |  3 AÑOS  |   GOYENA   |
TECNICO SUPERIOR EN AUTOMATIZACION Y CONTROL						       |  3 AÑOS  |   GOYENA   |
TECNICO SUPERIOR EN ESTERILIZACION							       |  3 AÑOS  |   GOYENA   |
PROTESICO DENTAL DE LABORATORIO								       |  3 AÑOS  |   GOYENA   |
TECNICO SUPERIOR EN ESCENA DEL CRIMEN							       |  3 AÑOS  |   GOYENA   |
TECNICO SUPERIOR EN HIGIENE Y SEGURIDAD EN EL TRABAJO					       |  3 AÑOS  |   GOYENA   |
TECNICO SUPERIOR EN HEMOTERAPIATECNOLOGO EN SALUD CON ESPECIALIDAD EN CARDIOLOGIA	       |  3 AÑOS  |   GOYENA   |
==========================================================================================================================

